disp,relative_time
0.803660790389135,4.26
0.796738037578202,4.28
0.7774528202855068,4.3
0.7558083390444299,4.32
0.7439404875842976,4.34
0.7318316968617206,4.36
0.7236568289648901,4.38
0.7203491447111922,4.4
0.7285328945604462,4.42
0.7260198986719341,4.44
0.7295705816656075,4.46
0.7272460045582216,4.48
0.7250500035815195,4.5
0.7207637586877421,4.5200000000000005
0.7076852105869881,4.54
0.6887007081384153,4.5600000000000005
0.6666750639839683,4.58
0.6422911091111088,4.6000000000000005
0.6168475136391293,4.62
0.6020147490994805,4.64
0.5916768351888188,4.66
0.5884182283670949,4.68
0.5869320161444176,4.7
0.5830297740750451,4.72
0.5858211900814119,4.74
0.583531802600546,4.76
0.5832964832943305,4.78
0.5778679091339695,4.8
0.5767931196781803,4.82
0.5786932517448369,4.84
0.5791789956620839,4.86
0.5801445584804497,4.88
0.5827031780334607,4.9
0.5838712258768147,4.92
0.5902226012637656,4.94
0.5985032760600458,4.96
0.6042763782559536,4.98
0.6100497517219579,5.0
0.614733982467884,5.0200000000000005
0.615322522880721,5.04
0.6142338434685699,5.0600000000000005
0.6181640061041909,5.08
0.6100392221339467,5.1000000000000005
0.6035537756678038,5.12
0.5872668497605339,5.14
0.574593447176571,5.16
0.5696664292120482,5.18
0.5717908938709098,5.2
0.5780728598063836,5.22
0.5890327182038951,5.24
0.6030658284932858,5.26
0.6047798751105465,5.28
0.6029147818377787,5.3
0.5971792024037837,5.32
0.5945888936419568,5.34
0.594187486219128,5.36
0.5909610631733666,5.38
0.5911388623704036,5.4
0.5854338207177875,5.42
0.57707323244238,5.44
0.5609211127978145,5.46
0.5503091913048641,5.48
0.5431600146226712,5.5
0.5353047966182075,5.5200000000000005
0.5298011607653386,5.54
0.5267655519707889,5.5600000000000005
0.5269704467675345,5.58
0.5247166560272092,5.6000000000000005
0.5145257803248364,5.62
0.4994425666979907,5.64
0.5140631429189527,5.66
0.5378754633548634,5.68
0.5700336925595911,5.7
0.6049436898532868,5.72
0.6417765483244304,5.74
0.667282411841552,5.76
0.6793893332540009,5.78
0.6762907971058784,5.8
0.6523655998548439,5.82
0.6503595449727453,5.84
0.638939603396441,5.86
0.6211634691349663,5.88
0.5957223590379656,5.9
0.573875468499456,5.92
0.5558894009690695,5.94
0.5442178209138793,5.96
0.5589267827646932,5.98
0.5502782264571613,6.0
0.5603830438883136,6.0200000000000005
0.5679784847653326,6.04
0.5676509236621717,6.0600000000000005
0.5685852133882772,6.08
0.5678229133391758,6.1000000000000005
0.5856343622994729,6.12
0.6115045098443971,6.140000000000001
0.6215629181449632,6.16
0.6132071088547131,6.18
0.6085951451548801,6.2
0.5964496683269124,6.22
0.57720150645414,6.24
0.5658219140701434,6.26
0.5581182438925852,6.28
0.5660253361162197,6.3
0.5767753988540618,6.32
0.5718528204903257,6.34
0.5906281932825443,6.36
0.5965075757325962,6.38
0.5924827818513437,6.4
0.5849005687988206,6.42
0.5744280077520305,6.44
0.5567869492858342,6.46
0.5461815338981701,6.48
0.5467001078083947,6.5
0.5512048700139719,6.5200000000000005
0.5670543832746066,6.54
0.5828680076483759,6.5600000000000005
0.5923146153803246,6.58
0.5977063196495498,6.6000000000000005
0.5985405823023544,6.62
0.5917674700782655,6.640000000000001
0.5863193053308776,6.66
0.5860120456441646,6.68
0.5862278226604709,6.7
0.5966938494083766,6.72
0.6146821168796224,6.74
0.6269519542091907,6.76
0.6357140677356894,6.78
0.6423823026326784,6.8
0.6501838041357185,6.82
0.6522570924887929,6.84
0.6561367268415019,6.86
0.6662585272803948,6.88
0.6767393300855304,6.9
0.6847076487816135,6.92
0.6915639477854301,6.94
0.6954112769853819,6.96
0.6960363947802957,6.98
0.6992920835143818,7.0
0.7078436253595928,7.0200000000000005
0.7093192701416317,7.04
0.7144384470468246,7.0600000000000005
0.7181830714912714,7.08
0.7252199129180611,7.1000000000000005
0.7238260720850552,7.12
0.7096351082523865,7.140000000000001
0.6831185134653018,7.16
0.6636441029512197,7.18
0.6588516773986782,7.2
0.6550105358973445,7.22
0.6541159812464467,7.24
0.6633166900186814,7.26
0.6762438758924969,7.28
0.6894593348391244,7.3
0.6765094083092594,7.32
0.6642391036942518,7.34
0.6597242933402343,7.36
0.6604720343371713,7.38
0.661424715437536,7.4
0.653639376997426,7.42
0.6477264176193938,7.44
0.6412144506921231,7.46
0.6482443998055425,7.48
0.6426804298835606,7.5
0.6430903383238434,7.52
0.6477779043166559,7.54
0.6466321468593293,7.56
0.646181421325685,7.58
0.6461188942193031,7.6
0.6465080317730751,7.62
0.6533127598210728,7.640000000000001
0.6741568873592105,7.66
0.6907342602582024,7.68
0.7074061387631014,7.7
0.7189031252407724,7.72
0.717809225435614,7.74
0.7148998698872161,7.76
0.7084250438258421,7.78
0.6979534949880757,7.8
0.6882841542030624,7.82
0.6792260790393614,7.84
0.6668714590310261,7.86
0.6634263494986098,7.88
0.6579782993889418,7.9
0.6504341448981334,7.92
0.6549740389871271,7.94
0.6617570508628343,7.96
0.6659129671388373,7.98
0.6660267845365712,8.0
0.6707499415710466,8.02
0.6735767299256571,8.040000000000001
0.68365407327764,8.06
0.6899314403989205,8.08
0.695171953405758,8.1
0.7089880420162068,8.120000000000001
0.7147788320690075,8.14
0.7110193342807537,8.16
0.7040848134883079,8.18
0.711328195484043,8.2
0.7061707185479227,8.22
0.7071500418127832,8.24
0.699859366751709,8.26
0.6853962138407113,8.28
0.664070117626608,8.3
0.6447635182125666,8.32
0.629862091227274,8.34
0.623496876137189,8.36
