disp,time
0.9086790078949909,3.28
0.9089434100770836,3.3
0.9081791764736076,3.32
0.9081773638902045,3.34
0.9078750336465737,3.36
0.9053887414173575,3.38
0.9038292753974467,3.4
0.9018838609422661,3.42
0.9005688022297349,3.44
0.902223016912639,3.46
0.9003352513833055,3.48
0.9016448746023636,3.5
0.9034344781707534,3.52
0.9033009408972564,3.54
0.9033009408972564,3.56
0.9035773950357192,3.58
0.9009599101970813,3.6
0.8996966078955709,3.62
0.899277203911151,3.64
0.903374877198509,3.66
0.9024864992237973,3.68
0.9031270590246907,3.7
0.9019863482778573,3.72
0.9008629263794816,3.74
0.8993738414959711,3.76
0.9006104104793046,3.78
0.90132587572659,3.8
0.9005107620394438,3.82
0.9003150507096609,3.84
0.90347488854093,3.86
0.9025705700236113,3.88
0.902420106229846,3.9
0.9032459880230649,3.92
0.9010837829489388,3.94
0.8993832220345352,3.96
0.9002815490134753,3.98
0.899975404038165,4.0
0.9004329910137452,4.02
0.9007702556943729,4.04
0.9015993081322377,4.06
0.9015050708832388,4.08
0.9021671056923743,4.1
0.9021937921288523,4.12
0.9021263154754787,4.14
0.900789069572533,4.16
0.9007129492121574,4.18
0.9002741948308383,4.2
0.8987232273652053,4.22
0.8991640186532885,4.24
0.9003528811851,4.26
0.9013918184407056,4.28
0.9053834767002461,4.3
0.902223016912639,4.32
